path,label
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000039946_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000574193_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000016576_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000076188_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/KGJO2TONM9DX_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000302805_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079916_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/1_jpg.rf.d2b285c23394e9c879c00ec1e70ffdaf_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000116922_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/animal_abuse/000000010373_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000579928_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/animal_abuse/000000102211_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/rect4_jpeg.rf.16d5f9710e81be2e3affd2b4e861b79a_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000073145_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000138709_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079467_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000131707_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/L9SLZSI975L3_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000075820_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000138427_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000133801_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000126560_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd614_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000572961_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000062751_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd406_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/animal_abuse/000000064989_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000287761_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/animal_abuse/000000575042_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000038459_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd388_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025600_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000125068_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/Y5S9RL7GXHN0_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000046874_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000022349_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/em3_jpg.rf.7e6bf512de9ef4c13a97be2f776e6783_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/224_jpg.rf.2e637c3ae6d4b1bf6ca08890ea86abef_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000029093_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000116922_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000071140_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000024392_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000080292_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000032076_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd772_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053029_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000292458_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000136855_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/0VEJDO4MFOFE_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd691_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/animal_abuse/000000064989_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000144572_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000240932_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd813_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000042691_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd244_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd05_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/animal_abuse/000000010373_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/742_jpg.rf.a847f54e7a24351173d7b279027be109_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000543187_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd745_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd624_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/U7BF14N4QHZV_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd712_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000059838_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000059300_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000051974_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/animal_abuse/000000578129_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000070507_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/animal_abuse/000000578938_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000033865_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000156345_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000044373_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036387_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000084079_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000156345_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000083786_all__4.npy,Normal
