path,label
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000578321_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000033328_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/K5HFALPP1C59_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000246439_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000318960_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000037240_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000029016_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd194_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000024742_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000351666_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000073284_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd403_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000057666_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd580_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000017185_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000468808_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124984_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000075796_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000127879_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000564035_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000028908_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000259780_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/2WTUHVL18IHN_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000039354_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000102295_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000031724_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000024675_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd311_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/B0YHKYV1YJ8Y_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000027473_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000018855_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd204_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000132455_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000058025_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000314630_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000332624_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd488_all__8.npy,Normal
