path,label
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000177097_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd501_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000238754_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fall_and_injury/000000020274_all__0.npy,animal_fall_and_injury
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124942_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036274_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000021781_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd771_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000222861_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000007750_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fall_and_injury/000000581721_all__6.npy,animal_fall_and_injury
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000036799_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000135720_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fall_and_injury/000000567541_all__6.npy,animal_fall_and_injury
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/bv44_jpg.rf.25e101888a2c88d12d17412e58d50bfe_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000125589_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000020921_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/716_jpg.rf.51a947229f37b07f228ed3ad7267b57b_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000020169_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000072231_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000077736_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000045139_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd170_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000575275_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fall_and_injury/000000020274_all__8.npy,animal_fall_and_injury
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000341249_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd486_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000022558_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000543187_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000188680_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000066982_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000010636_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fall_and_injury/000000575082_all__6.npy,animal_fall_and_injury
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000272524_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000132772_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000016147_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000517354_all__6.npy,Normal
