path,label
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000021274_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd672_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000056940_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000313179_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000022535_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fight/000000016626_all__2.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000532871_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000063541_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000042284_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fight/000000007843_all__3.npy,animal_fight
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fight/000000011379_all__8.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000052483_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd142_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd817_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000361187_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000019379_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000032210_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/D5DXHRQAH14E_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000124276_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000015758_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000214118_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000041151_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000363918_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/x112_jpg.rf.d77e99db75b4f07a54023232218c2b89_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000215710_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000137649_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000021203_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000338465_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000358602_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000288010_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000054676_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd766_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/R3YAJVKOEG7K_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000269241_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000070377_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000146688_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6641_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fight/000000577388_all__4.npy,animal_fight
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fight/000000577026_all__2.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000233221_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000081203_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000080292_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017620_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000039186_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000059420_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000478520_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000235821_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000051420_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000130964_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000046873_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd489_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000235892_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025361_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000207312_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000140058_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000130669_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000015118_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000021848_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000192404_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000142195_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000427676_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000093924_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000302542_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000129091_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000096065_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000314630_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000140058_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/697460K7RZ22_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000283236_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000015943_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/704_jpg.rf.b0ef7419937f78667b663fd840ecf202_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000138994_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000130669_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000321780_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd104_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000020393_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000347103_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd557_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fight/000000577388_all__9.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd120_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000328767_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079894_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000092864_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000126219_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000355390_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/tun4_jpg.rf.3b28ebfbc96ecebd74e5268ab7029beb_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000027054_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000016211_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000063494_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/R1WNRXI36H05_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000310352_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053944_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000252578_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/FMU9B0X9VI7W_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000255939_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000136610_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000034332_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000021274_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000059337_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000436832_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000463985_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000325841_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000034448_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd844_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fight/000000016626_all__9.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025600_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd245_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fight/000000580531_all__3.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000040626_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000060238_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fight/000000580531_all__4.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000262464_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/st24_jpg.rf.7e5e92a6415cf60e1962edbe220693f6_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000307308_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000325841_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000137335_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fight/000000008441_all__7.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000076859_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000049538_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000041477_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd943_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000126219_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000119301_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_fight/000000580531_all__9.npy,animal_fight
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_fight/000000011379_all__0.npy,animal_fight
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd819_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000273585_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000133255_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/R1WNRXI36H05_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000363003_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000124276_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd710_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000225181_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000576504_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6711_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000038792_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000580299_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd436_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000042918_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000198059_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd585_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000069760_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000128540_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000126219_all__3.npy,Normal
