path,label
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025928_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd918_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000244479_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/C7E3WPEYV1ES_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000032150_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000024392_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000473321_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd723_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000054126_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000009098_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000029167_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000023049_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd461_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000017041_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000125589_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000326963_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000480067_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000474137_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd07_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000228125_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000151913_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/9BG6CQUAH79U_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000059938_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd002_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd647_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd672_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd613_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd548_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000137932_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000025028_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd548_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000134957_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000018286_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/animal_predation/000000021341_all__7.npy,animal_predation
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000176844_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000496971_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000056870_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_predation/000000579766_all__8.npy,animal_predation
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000137947_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000030323_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053303_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000010575_all__7.npy,Normal
