path,label
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000057889_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000037281_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000140628_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000320340_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000046192_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000012659_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000484611_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000341022_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000140628_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd205_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000020717_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000028074_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000083675_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/nig2_jpg.rf.eaa9b8aa8a3e058086e602e647d1ee9d_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000134957_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000033951_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000563249_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000017516_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd798_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000130669_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000041886_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000129467_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000023321_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd913_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000034256_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049289_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000203757_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000545599_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079109_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd690_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000022122_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000077021_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000449568_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd613_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000018852_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd222_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000043471_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd244_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000067999_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/avalanche/000000024033_all__8.npy,avalanche
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000018225_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000298532_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000050928_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000214521_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000204873_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/745_jpg.rf.a070f162dbacabe2d70c144e8026f734_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000134422_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/avalanche/000000015606_all__2.npy,avalanche
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000027107_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000315809_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000042486_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000136113_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000325066_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000033237_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000339086_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000039050_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/avalanche/000000015606_all__8.npy,avalanche
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000337713_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/743_jpg.rf.8e8360d168c03e3f884d8e96f3209a52_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000024472_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000039218_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000232060_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050022_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000524185_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000032135_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000025726_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000416602_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000287761_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/1K403BWASORJ_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000037930_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000028945_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000139664_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/avalanche/000000015606_all__9.npy,avalanche
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000025092_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000023408_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000011517_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000071153_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000054170_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000203760_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000126875_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000058374_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/avalanche/000000024033_all__4.npy,avalanche
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000046183_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000138126_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000035536_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000574762_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/Y87JYNQFV8B8_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000126377_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd437_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000222072_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000031768_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000071622_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000204050_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000052171_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000332262_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/BPV1M1BUYJNC_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000225181_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000009995_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000343592_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000038792_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/BPV1M1BUYJNC_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd522_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000561819_all__1.npy,Normal
