path,label
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd153_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd521_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000018765_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000075820_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000339037_all__5.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000055778_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000392361_all__2.npy,construction_accident
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000329070_all__7.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/FMU9B0X9VI7W_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n18_jpg.rf.baa08ce29e882f687bfd2d8e47978689_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000064688_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6731_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000034256_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000035055_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000126092_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/construction_accident/000000348412_all__9.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000029849_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/construction_accident/000000329070_all__6.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000416602_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000244927_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/DE0XO9YJY2XZ_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd838_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000559208_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/745_jpg.rf.a070f162dbacabe2d70c144e8026f734_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000017743_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000329070_all__0.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124984_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000328506_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000034809_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000314445_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/construction_accident/000000348412_all__7.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000580299_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000377247_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000049215_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/229_jpg.rf.9166dab34364ca279be6473561bdd161_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/UU6WXXLDWUYW_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000235841_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000019606_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000074721_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000235859_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000021101_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000306888_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000388535_all__8.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd542_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000341249_all__2.npy,construction_accident
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000329070_all__6.npy,construction_accident
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000131707_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000037930_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053372_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000300623_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000032150_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000179090_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000055885_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000082446_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000033973_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000137784_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000035055_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000023319_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n71_jpeg.rf.c8265d2b9baaf1f6157a73a03b52f155_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd12_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000039587_all__5.npy,Normal
