path,label
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000063541_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000048702_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000024816_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd388_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000017074_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd825_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000152752_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000048526_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000013049_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/equipment_breakdown/000000057512_all__9.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036319_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/tun9_jpg.rf.15cb919e7ea44f5a0f2ffdae425235c2_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/equipment_breakdown/hd541_all__3.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/equipment_breakdown/000000012035_all__0.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000010934_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000029743_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000047338_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/equipment_breakdown/000000271995_all__4.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000125589_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/equipment_breakdown/000000187562_all__1.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/equipment_breakdown/000000204873_all__0.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/4AROS76UZCFS_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/equipment_breakdown/000000187562_all__2.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000314160_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd413_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/equipment_breakdown/000000060195_all__4.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd489_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000232404_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd943_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000021230_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000032076_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000015118_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd240_all__1.npy,Normal
