path,label
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/explosion/000000028726_all__7.npy,explosion
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000019137_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000230198_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000437038_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000329070_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/explosion/000000015348_all__4.npy,explosion
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000014465_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd529_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/explosion/000000176844_all__1.npy,explosion
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000226911_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000097631_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000047390_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/explosion/000000249173_all__5.npy,explosion
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000032034_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/explosion/000000022455_all__6.npy,explosion
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000023726_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/explosion/000000118900_all__2.npy,explosion
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000133177_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000040378_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/explosion/000000022455_all__0.npy,explosion
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000052117_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/explosion/000000161684_all__1.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/explosion/000000023628_all__4.npy,explosion
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd584_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000242356_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/explosion/000000407718_all__2.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/explosion/000000077636_all__6.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/explosion/000000444747_all__8.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/explosion/000000028726_all__9.npy,explosion
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000038011_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/explosion/000000249173_all__4.npy,explosion
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd561_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/bv88_jpg.rf.4412560442d63a707d81ff2b296e8453_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/explosion/000000060067_all__5.npy,explosion
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd351_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000046721_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/explosion/000000395454_all__0.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/explosion/000000114547_all__1.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/explosion/000000022455_all__3.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/explosion/000000578815_all__1.npy,explosion
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000214558_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000007750_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000332460_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000026291_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/explosion/000000453081_all__4.npy,explosion
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000120539_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000037592_all__3.npy,Normal
