path,label
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/extreme_weather_events/000000013520_all__6.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/extreme_weather_events/000000151427_all__0.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000026500_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000062471_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000314205_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/extreme_weather_events/000000013520_all__2.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000062465_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/extreme_weather_events/000000505466_all__7.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/extreme_weather_events/hd649_all__4.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/extreme_weather_events/000000015077_all__7.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd430_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000073887_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/extreme_weather_events/hd662_all__8.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000054372_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd794_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000126092_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000062828_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000066756_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/extreme_weather_events/000000017464_all__5.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000129614_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000467885_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/extreme_weather_events/hd654_all__6.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6661_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/04ND4WG38NMQ_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/extreme_weather_events/000000009676_all__1.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd017_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/extreme_weather_events/000000495968_all__8.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/extreme_weather_events/hd667_all__7.npy,extreme_weather_events
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000465151_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000014977_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd509_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124126_all__6.npy,Normal
