path,label
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/fire/000000038607_all__6.npy,fire
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/fire/000000093924_all__1.npy,fire
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/fire/000000068419_all__2.npy,fire
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000522313_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000039658_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000020530_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/fire/000000547379_all__3.npy,fire
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/fire/000000085583_all__2.npy,fire
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000473796_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/fire/000000004948_all__2.npy,fire
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000015703_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/fire/hd695_all__0.npy,fire
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000042583_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/fire/000000339205_all__3.npy,fire
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/fire/000000063678_all__7.npy,fire
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000039537_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/fire/000000089581_all__8.npy,fire
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/fire/000000016853_all__8.npy,fire
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000005896_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/fire/000000363062_all__6.npy,fire
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/fire/000000005134_all__9.npy,fire
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000500958_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/222_jpg.rf.ddf228d8df6631ec7dd69eeadbf13bf4_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/fire/000000101291_all__4.npy,fire
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd473_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000028708_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/fire/000000234482_all__4.npy,fire
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/fire/000000038607_all__5.npy,fire
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/fire/hd689_all__9.npy,fire
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/fire/000000052105_all__5.npy,fire
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/fire/000000037270_all__9.npy,fire
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000020393_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124984_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000035387_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000341392_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd755_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd831_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/fire/000000030225_all__3.npy,fire
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/fire/000000477236_all__3.npy,fire
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036319_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/fire/000000064745_all__6.npy,fire
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/fire/000000007578_all__9.npy,fire
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/fire/000000008826_all__6.npy,fire
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050656_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/fire/000000018646_all__8.npy,fire
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/fire/000000408128_all__7.npy,fire
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/fire/hd244_all__1.npy,fire
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/fire/hd697_all__2.npy,fire
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000074161_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/fire/000000089581_all__2.npy,fire
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000541389_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/fire/hd710_all__7.npy,fire
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000129427_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000125409_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/fire/000000007493_all__8.npy,fire
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/fire/000000060652_all__6.npy,fire
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/fire/000000238362_all__4.npy,fire
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000077828_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/fire/000000096686_all__4.npy,fire
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000478923_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000394496_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000042838_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000205316_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/fire/000000005238_all__2.npy,fire
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/fire/000000027346_all__0.npy,fire
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000518967_all__5.npy,Normal
