path,label
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124768_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd748_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000331792_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000030425_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/ground_collapse/000000009255_all__7.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd245_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/ground_collapse/000000326715_all__4.npy,ground_collapse
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/ground_collapse/000000219568_all__0.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000083991_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000580299_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000056803_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000205271_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd813_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/13_jpg.rf.967254318ab67809ebab25103d0857a4_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/tun4_jpg.rf.3b28ebfbc96ecebd74e5268ab7029beb_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/ground_collapse/000000037110_all__3.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000204873_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/ground_collapse/000000399381_all__0.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd251_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/T38SNZGM58QY_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd674_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053372_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000222202_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd719_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000233753_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124666_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/L9SLZSI975L3_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000018225_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000252578_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000038818_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/ground_collapse/000000508956_all__7.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd678_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/ground_collapse/hd727_all__6.npy,ground_collapse
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/ground_collapse/000000334449_all__6.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd529_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/ground_collapse/000000034217_all__6.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000073145_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000325591_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/ground_collapse/000000036154_all__3.npy,ground_collapse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_more/ground_collapse/000000023088_all__3.npy,ground_collapse
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/ground_collapse/hd732_all__4.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd757_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000073279_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000039294_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/ground_collapse/000000030652_all__1.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000048466_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000083357_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000392361_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050135_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/ground_collapse/hd727_all__0.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000036079_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n18_jpg.rf.baa08ce29e882f687bfd2d8e47978689_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000207226_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000022535_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000084543_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000226911_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd856_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/ground_collapse/hd732_all__8.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000041151_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000360003_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd338_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000324881_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd856_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000074341_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/ground_collapse/000000321384_all__5.npy,ground_collapse
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/ground_collapse/000000144845_all__4.npy,ground_collapse
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/ground_collapse/hd728_all__4.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000038459_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/ground_collapse/hd720_all__0.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000138777_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd537_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000031399_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/ground_collapse/000000274650_all__1.npy,ground_collapse
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000032725_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000011853_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000240932_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000143390_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000014786_all__9.npy,Normal
