path,label
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/3009__7.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/000000008147_all__9.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd677_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/000000570326_all__9.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000137784_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000020331_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/1289__4.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000138082_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/697460K7RZ22_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/000000577273_all__7.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/000000571898_all__3.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000046368_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000141939_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n50_jpg.rf.274b4c5c1f5eef5c5e0d884ac5b6312c_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/AGNZ3OXE1Z5G_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n14_jpg.rf.3eae5ca578876234113e979192d164e0_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/000000571898_all__8.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/infrastructure_failure/000000033986_all__7.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000064459_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000414626_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000138285_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000314205_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000015159_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000136113_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000363235_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/infrastructure_failure/000000033379_all__9.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000517354_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000040516_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000215710_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000082912_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000283132_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/infrastructure_failure/000000025893_all__5.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000580533_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000040528_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd613_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/3492__1.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000039013_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000047321_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/infrastructure_failure/000000025883_all__9.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000035644_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000076969_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000213201_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000124896_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000126424_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000136855_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/4AROS76UZCFS_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/000000577273_all__3.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/infrastructure_failure/000000571898_all__7.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000216107_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000202297_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000021616_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000021781_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/infrastructure_failure/000000024654_all__7.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/infrastructure_failure/000000028519_all__6.npy,infrastructure_failure
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000022859_all__0.npy,Normal
