path,label
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000341022_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000134763_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000011259_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd584_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd545_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000029887_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000134156_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000038700_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/P8UNHANBT4XV_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6621_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000138777_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000019229_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000331699_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000128945_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000018500_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000034150_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000045305_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/landslide/000000092936_all__9.npy,landslide
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000027411_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd535_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000065642_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000026508_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000473738_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000202271_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000039787_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000042331_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/landslide/000000087084_all__5.npy,landslide
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/landslide/000000104650_all__5.npy,landslide
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000052536_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/UVQ4D0NS0PLT_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd434_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000066595_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000048755_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000217493_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000299142_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000245715_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/XQ41JXPX1NQF_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017256_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000309973_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/landslide/000000087084_all__6.npy,landslide
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6651_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/27MX6Z99MLP4_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000124942_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000012659_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000133991_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000336453_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050390_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd554_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000399381_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000019229_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000204214_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000337025_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000039636_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd340_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000150802_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/x112_jpg.rf.d77e99db75b4f07a54023232218c2b89_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000074341_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000363235_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000020290_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6621_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000082911_all__1.npy,Normal
