path,label
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000043598_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd007_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000247558_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000231300_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036246_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/leakage/000000014465_all__7.npy,leakage
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000463985_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000243635_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000029649_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/VFIZZ8G78MHL_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd637_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/leakage/000000017007_all__6.npy,leakage
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000214420_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000044134_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/leakage/000000229029_all__6.npy,leakage
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000399381_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050267_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000012355_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000032184_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n14_jpg.rf.3eae5ca578876234113e979192d164e0_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/leakage/000000229029_all__7.npy,leakage
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036375_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000009207_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd751_all__6.npy,Normal
