path,label
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000017575_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/4AROS76UZCFS_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000356497_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd637_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000219055_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000028376_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd210_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000061359_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000023742_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000013210_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd548_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/medical_emergency/hd122_all__8.npy,medical_emergency
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000427676_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000018286_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000170258_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000043312_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000204214_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/19_jpg.rf.a34610bc474c8e709e9976864eaaf4c4_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000034914_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000024675_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050267_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000046080_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/bv98_jpg.rf.16e5d6ae8ad1bed7610d2b092bc68786_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079811_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000021295_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000019623_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017639_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000334604_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000210178_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000312664_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd389_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000026287_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000022574_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000047934_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000131962_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000292246_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd491_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000048031_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000309661_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000045107_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000020411_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000242356_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000298107_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000191932_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/medical_emergency/hd734_all__1.npy,medical_emergency
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd568_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000022122_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000005110_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000137335_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000566150_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000146688_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000566150_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000205020_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000577689_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd218_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000070141_all__1.npy,Normal
