path,label
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000078545_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049622_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000063412_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/T38SNZGM58QY_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000312244_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000227505_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000576504_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000154106_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000255939_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000319637_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000136252_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000269241_all__7.npy,natural_disasters
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000443217_all__2.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000012697_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000038356_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000373944_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000027411_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/AQWOPUV6ND4C_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000014350_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000506827_all__4.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd527_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000024676_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000221059_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000506827_all__1.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000024685_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000059734_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000292458_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000125326_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000135350_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd820_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000024472_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000541689_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000042920_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000065740_all__0.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000058729_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000084180_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000269241_all__3.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000042623_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000134763_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd665_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000466963_all__6.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/bv65_jpg.rf.f5941399adcbccea3a1334ddc9e1c860_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000283626_all__9.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd664_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd435_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000204330_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000046931_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000283626_all__1.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000205051_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000479076_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000065331_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049224_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000024286_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000159221_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000066838_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000509894_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000077736_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000067421_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050887_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd352_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000037034_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000243534_all__0.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/rect27_jpg.rf.023f8fcc8731e3c84f161bb93b0f6b60_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000028055_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000203950_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd276_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000506827_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000138926_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/HEPC9O4DWII7_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000083760_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000056940_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000332628_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000138285_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000047069_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000466963_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000009530_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd548_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000412213_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000443217_all__9.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000029025_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000443217_all__4.npy,natural_disasters
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000473321_all__7.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000125808_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd615_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000243534_all__7.npy,natural_disasters
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000269241_all__4.npy,natural_disasters
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000269241_all__2.npy,natural_disasters
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/FMU9B0X9VI7W_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/natural_disasters/000000466963_all__7.npy,natural_disasters
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000443217_all__8.npy,natural_disasters
