path,label
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000032210_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd68_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000069722_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd347_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd683_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000035644_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000356003_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000141902_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000012136_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000220378_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd414_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000022859_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd766_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd305_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000129239_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049831_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000422220_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000133255_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000025750_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000047338_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000047069_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd744_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/O0ODCAZRQ8OM_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000204412_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000227287_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000332515_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000083868_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000030047_all__2.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/R7D5LIY53U57_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000016866_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000320340_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000015146_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000287753_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd732_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000126068_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd11_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6641_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000143390_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000030047_all__1.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025600_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/T38SNZGM58QY_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017620_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/rect27_jpg.rf.023f8fcc8731e3c84f161bb93b0f6b60_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000042920_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd491_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000034676_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000474137_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000241239_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd548_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/CTFJC6O7C2JB_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000243635_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd550_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000052633_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000572961_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000126092_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000030047_all__0.npy,person_drowning
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000033769_all__6.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/YG7Y401L9MNC_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000022800_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/nl8_jpg.rf.f796bba96827025fc2306d18a8058df9_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/ROZK8OFARL5V_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd256_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000047901_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/FSZVLQONATT2_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000345794_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000077322_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd686_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000298532_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000065193_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000031008_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000030047_all__3.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000233134_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000336837_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000070377_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000030047_all__4.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/pc50_jpg.rf.a7898f9a36cbf93915ec5dd1d431bda6_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000029549_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000480051_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000077927_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000018500_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000077736_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000226911_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd854_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000032241_all__1.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000336200_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd376_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000083171_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000077321_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049224_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000019274_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000212418_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000331699_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000339037_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd199_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000029887_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000029946_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000205316_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd758_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000067124_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000203950_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/13PE41KDNS1G_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000153802_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000125409_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000179196_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/NCK8REL083BO_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n57_jpg.rf.78cd7926f2528ba754bd721baa07fe42_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000312874_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000080778_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000040104_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/0IOSJSDOX5VR_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050693_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/pedestrian-8844110_1280_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000047380_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000048344_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025617_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000082378_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079467_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000150979_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/st27_jpg.rf.f4580e9efd7f481fcf267e3f2b98b8e0_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000147295_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000066982_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd143_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000046368_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/2WTUHVL18IHN_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd817_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000204873_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000204019_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000075316_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000191932_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000284537_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000453081_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000136362_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000514967_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/INHXTVGZ4MUU_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000336456_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000298619_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd705_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000011864_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000030047_all__6.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000031336_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000033769_all__4.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000336837_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000015703_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd425_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/KV2PA671OHA2_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd682_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000315167_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000058097_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000060195_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6761_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000039286_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000070760_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000063419_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd142_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000041886_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd723_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000139832_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000145995_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/person_drowning/000000032241_all__2.npy,person_drowning
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd515_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/UYPDOJJR7ZTN_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025766_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000060067_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000328060_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/SGM6NJYZQW9G_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd492_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd780_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000132927_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000327142_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036637_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079372_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd561_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000321077_all__6.npy,Normal
