path,label
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd619_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000019445_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000017757_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000235821_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd837_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000266201_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000292246_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000182057_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n57_jpg.rf.78cd7926f2528ba754bd721baa07fe42_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000307308_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000240932_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/pushing_conflict/000000353129_all__5.npy,pushing_conflict
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000182694_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000179090_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000152025_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/pushing_conflict/000000043224_all__5.npy,pushing_conflict
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000255939_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000139084_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/1PD5ODCSMUQS_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd335_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000133177_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000325213_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000052633_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000087952_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000040104_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000083491_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/3T2OWAU3HNAG_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000232404_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd608_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000009144_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000580533_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd758_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/IYH6YKJTI4TR_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000240103_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/pushing_conflict/000000043224_all__0.npy,pushing_conflict
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000033724_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000135637_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd673_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/pushing_conflict/000000268031_all__6.npy,pushing_conflict
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000506818_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000231510_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000031008_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd171_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000005771_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000256770_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000127354_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd499_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000006923_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000129427_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/pushing_conflict/000000092334_all__4.npy,pushing_conflict
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000058274_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd13_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000047056_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000082911_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/pushing_conflict/000000013138_all__9.npy,pushing_conflict
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd04_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd6781_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000056745_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000011413_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000334766_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000022707_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000305286_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000321520_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049831_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000028708_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd575_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000052536_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000013664_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000009674_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd277_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025928_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/pushing_conflict/000000129946_all__0.npy,pushing_conflict
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd003_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000008692_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000207655_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000332412_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000139295_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000012013_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000097631_all__9.npy,Normal
