path,label
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/robbery/000000274372_all__2.npy,robbery
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000025028_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000352798_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000048875_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000024816_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd376_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/robbery/000000402545_all__8.npy,robbery
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000069258_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000051190_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/robbery/000000130102_all__8.npy,robbery
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000513674_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/robbery/000000252321_all__9.npy,robbery
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/robbery/000000346818_all__3.npy,robbery
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd622_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/robbery/000000219186_all__0.npy,robbery
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000015159_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/BSP374UY4K2J_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd540_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000038347_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/robbery/000000125074_all__0.npy,robbery
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000016576_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/robbery/000000219186_all__7.npy,robbery
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/robbery/000000269706_all__9.npy,robbery
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/robbery/000000009666_all__2.npy,robbery
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/robbery/000000071081_all__6.npy,robbery
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/robbery/000000556174_all__6.npy,robbery
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000057934_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000133474_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000331825_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000056524_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000022122_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/robbery/000000442948_all__7.npy,robbery
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/robbery/000000556403_all__9.npy,robbery
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000040994_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000033961_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/original_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000293102_all__5.npy,Normal
