path,label
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000018132_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017620_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000024868_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_more/000000091925_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000127593_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000125409_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000074161_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053144_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000275629_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000056322_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124276_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000124126_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053372_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000207312_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000340231_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd795_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000140058_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079692_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd756_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000024517_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000036387_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd785_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/safety_violations/hd907_all__9.npy,safety_violations
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000334604_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/bv44_jpg.rf.25e101888a2c88d12d17412e58d50bfe_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000020411_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/safety_violations/000000009152_all__3.npy,safety_violations
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000025484_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd809_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd245_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd852_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000039059_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000045916_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000014465_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/safety_violations/000000195040_all__9.npy,safety_violations
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000365399_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000102295_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd14_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000073750_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd668_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/bv75_jpg.rf.c201c16a0f15180034b95ba593080cc1_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd795_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049622_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/BBPS8UU5DC5D_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/4LZJD1TCL3I5_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/L4G9WNPCEMEK_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/805_jpg.rf.51253a124f83536436544f4a002805a3_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000127879_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000051190_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000124388_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd434_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd375_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n14_jpg.rf.3eae5ca578876234113e979192d164e0_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000436832_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/safety_violations/000000038700_all__4.npy,safety_violations
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000051635_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000086028_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000049831_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000412192_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000042660_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/704_jpg.rf.b0ef7419937f78667b663fd840ecf202_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000021729_all__4.npy,Normal
