path,label
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000576522_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/structural_failure/000000119301_all__0.npy,structural_failure
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/TY3ULUM99AI9_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd501_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd522_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/P8UNHANBT4XV_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/39KQ539K72JW_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd941_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000124276_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/structural_failure/000000296516_all__0.npy,structural_failure
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050751_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000141212_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000136252_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/structural_failure/000000354152_all__0.npy,structural_failure
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000066590_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000044274_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd789_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000028065_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000325213_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/structural_failure/000000416602_all__7.npy,structural_failure
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000545599_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000034125_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000069265_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/SRPVUOR51KRA_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000042660_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000138285_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000151903_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000206500_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd04_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000069674_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000232060_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000139891_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd1000_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000229729_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd446_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000059111_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd356_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000078722_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000045077_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000348412_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000065233_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/structural_failure/000000275629_all__8.npy,structural_failure
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000332575_all__4.npy,Normal
