path,label
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/sudden_illness_and_seizure/000000019347_all__1.npy,sudden_illness_and_seizure
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/SRGIAH7GX5SJ_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050594_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000024868_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/sudden_illness_and_seizure/000000017263_all__4.npy,sudden_illness_and_seizure
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/sudden_illness_and_seizure/000000019347_all__7.npy,sudden_illness_and_seizure
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000153988_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000036647_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/6NHL06YK2UV5_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000207312_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000033043_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000512052_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000149100_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd743_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000255127_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000054255_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000168496_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000069606_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd584_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017620_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000408793_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd763_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/tunnel-4427609_1280_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000041579_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000453081_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000010934_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000052515_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017937_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd795_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000041792_all__2.npy,Normal
