path,label
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd764_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000045916_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000460230_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000480067_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000283626_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/n62_jpg.rf.e0aa83b9d6f861e7528c685d116cb745_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/237_jpg.rf.2903c7a88b98d94076c0183aad793639_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000057826_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000041376_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000522313_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000076540_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000032596_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000136397_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000577689_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/1K403BWASORJ_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000126031_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd501_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000463871_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd016_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/GC19Q0MHHB20_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000014667_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000328767_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000023060_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000318639_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000052699_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000509894_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000053659_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000066595_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000506818_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000017857_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000207226_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd412_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000082811_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000233228_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000059337_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000228503_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000509894_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000153191_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/4AROS76UZCFS_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000137649_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000214420_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000242456_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000124921_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000460883_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000233037_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000299391_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000062268_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000046657_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000035350_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000140792_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd598_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd810_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/NNKCQM9CM31I_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000058374_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000308732_all__6.npy,Normal
