path,label
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000059111_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/HK9WCEDHLT3J_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/theft/000000377124_all__4.npy,theft
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/theft/000000022254_all__9.npy,theft
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/200_jpg.rf.47408d1c19d245a69f47bc9e1f708e70_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/theft/000000349749_all__3.npy,theft
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000331183_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000076706_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000067484_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/theft/000000071337_all__7.npy,theft
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000056408_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000083952_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/theft/000000272037_all__5.npy,theft
Pistachio/VAD/vit-features/train/normal/indoor_normal_more/000000332370_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000521526_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd143_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000019229_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000131634_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd807_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/theft/000000271816_all__8.npy,theft
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050594_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/theft/000000458595_all__4.npy,theft
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000203939_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000017575_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000232403_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/theft/000000475596_all__5.npy,theft
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd728_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000136357_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000078991_all__1.npy,Normal
