path,label
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000005896_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd558_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000134473_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_less/traffic_accident/hd120_all__1.npy,traffic_accident
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000077678_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/nl8_jpg.rf.f796bba96827025fc2306d18a8058df9_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000039461_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000212172_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000070439_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000295354_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd261_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000041327_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000040626_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/11_jpg.rf.5b91359763848a419f64dc8ef46df290_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd217_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000521526_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd403_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000044442_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000361187_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000422220_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000252152_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/BPV1M1BUYJNC_all__2.npy,Normal
