path,label
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000077410_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/vandalism/000000088319_all__8.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000020763_all__9.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/vandalism/000000088319_all__6.npy,vandalism
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000041495_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd488_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000058128_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/vandalism/000000506031_all__3.npy,vandalism
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000101833_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/vandalism/000000350380_all__8.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000018249_all__0.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/vandalism/000000538189_all__0.npy,vandalism
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd206_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000025361_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/TXQQFEBJ7WOY_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000133991_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/vandalism/000000281638_all__1.npy,vandalism
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd488_all__0.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000203950_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000024075_all__0.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/vandalism/000000325700_all__0.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/vandalism/000000298309_all__4.npy,vandalism
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000014390_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/vandalism/000000007388_all__0.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/vandalism/000000286744_all__6.npy,vandalism
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000079780_all__1.npy,Normal
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000037799_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000416602_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd614_all__1.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000024538_all__9.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/vandalism/000000350380_all__4.npy,vandalism
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd04_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/000000360272_all__4.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000018374_all__9.npy,vandalism
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/000000069265_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/hd461_all__6.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/vandalism/000000004826_all__3.npy,vandalism
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000062828_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000022762_all__2.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/vandalism/000000505747_all__1.npy,vandalism
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000084079_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000023077_all__6.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/vandalism/000000509093_all__7.npy,vandalism
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000075867_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000177761_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000576978_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/vandalism/000000017787_all__2.npy,vandalism
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/vandalism/000000009995_all__2.npy,vandalism
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd205_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000180566_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/outdoor_normal_more/000000063541_all__1.npy,Normal
