path,label
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000312244_all__8.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/weapons_incident/000000285447_all__0.npy,weapons_incident
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000022243_all__3.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/weapons_incident/000000305847_all__4.npy,weapons_incident
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/weapons_incident/000000284549_all__3.npy,weapons_incident
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/000000015187_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd232_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/weapons_incident/000000010550_all__9.npy,weapons_incident
Pistachio/VAD/vit-features/train/normal/industrial_normal_less/hd507_all__5.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/SRPVUOR51KRA_all__2.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/weapons_incident/000000031330_all__0.npy,weapons_incident
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/weapons_incident/000000030043_all__8.npy,weapons_incident
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000039013_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/757_jpg.rf.ae2ad1789fc07550a2493063055100d2_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/weapons_incident/000000010550_all__0.npy,weapons_incident
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/weapons_incident/000000006923_all__7.npy,weapons_incident
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/weapons_incident/000000010934_all__9.npy,weapons_incident
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/weapons_incident/000000284434_all__0.npy,weapons_incident
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000229029_all__2.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/R1WNRXI36H05_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_less/000000065233_all__1.npy,Normal
