path,label
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_more/natural_disasters/000000243534_all__5.npy,natural_disasters
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/construction_accident/000000384144_all__9.npy,construction_accident
Pistachio/VAD/vit-features/train/anomaly/industrial_anomaly_more/slip_and_fall_accident/000000557760_all__8.npy,slip_and_fall_accident
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_more/wild_large_animal_intrusion/000000076316_all__0.npy,wild_large_animal_intrusion
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000050891_all__9.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_less/fighting_and_physical_conflict/000000124170_all__3.npy,fighting_and_physical_conflict
Pistachio/VAD/vit-features/train/normal/industrial_normal_more/000000495968_all__5.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_more/pushing_conflict/000000268031_all__7.npy,pushing_conflict
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/fire/000000379835_all__9.npy,fire
Pistachio/VAD/vit-features/train/normal/road_normal_less/000000048186_all__3.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_more/000000563249_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000271550_all__8.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000223185_all__6.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000203983_all__4.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000205179_all__7.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/infrastructure_anomaly_less/equipment_breakdown/000000205576_all__0.npy,equipment_breakdown
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/animal_abuse/000000575042_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/normal/outdoor_normal_less/hd542_all__0.npy,Normal
Pistachio/VAD/vit-features/train/anomaly/indoor_anomaly_more/explosion/000000007113_all__8.npy,explosion
Pistachio/VAD/vit-features/train/normal/commercial_normal_more/000000130246_all__9.npy,Normal
Pistachio/VAD/vit-features/train/normal/indoor_normal_less/000000036647_all__7.npy,Normal
Pistachio/VAD/vit-features/train/normal/infrastructure_normal_less/M1BQ80HC4ZWA_all__7.npy,Normal
