path,label
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000041886_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000056271_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000062465_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000102211_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/commercial_anomaly_less/animal_abuse/000000105413_all__7.npy,animal_abuse
