path,label
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000554389_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000555523_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000557674_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000560888_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__1.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__2.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__3.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__4.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__5.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__6.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__7.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__8.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000570388_all__9.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000574193_all__0.npy,animal_abuse
Pistachio/VAD/vit-features/train/anomaly/outdoor_anomaly_less/animal_abuse/000000574193_all__1.npy,animal_abuse
