path,label
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__0.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__1.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__2.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__3.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__4.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__5.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__6.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__7.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__8.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000059600_all__9.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__0.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__1.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__2.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__3.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__4.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__5.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__6.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__7.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__8.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000074521_all__9.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__0.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__1.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__2.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__3.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__4.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__5.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__6.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__7.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__8.npy,explosion
Pistachio/VAD/vit-features/train/anomaly/road_anomaly_less/explosion/000000114935_all__9.npy,explosion
